"weighting_scheme","candidate_family","weighted_score","exploratory_rank","essential_gate_pass","promotion_status"
"equal","Bile-acid transformation and FXR signalling",0.375,1,0,"NO-GO"
"equal","Aromatic microbial metabolites and AHR/inflammatory signalling",0.25,2,0,"NO-GO"
"equal","Tryptophan-derived indoles and AHR signalling",0.0625,4,0,"NO-GO"
"equal","Choline/acyl-choline metabolism and immune lipid handling",0.21875,3,0,"NO-GO"
"measured_layer_emphasis","Bile-acid transformation and FXR signalling",0.435,1,0,"NO-GO"
"measured_layer_emphasis","Aromatic microbial metabolites and AHR/inflammatory signalling",0.27,2,0,"NO-GO"
"measured_layer_emphasis","Tryptophan-derived indoles and AHR signalling",0.075,4,0,"NO-GO"
"measured_layer_emphasis","Choline/acyl-choline metabolism and immune lipid handling",0.235,3,0,"NO-GO"
"bridge_emphasis","Bile-acid transformation and FXR signalling",0.385,1,0,"NO-GO"
"bridge_emphasis","Aromatic microbial metabolites and AHR/inflammatory signalling",0.255,2,0,"NO-GO"
"bridge_emphasis","Tryptophan-derived indoles and AHR signalling",0.08,4,0,"NO-GO"
"bridge_emphasis","Choline/acyl-choline metabolism and immune lipid handling",0.225,3,0,"NO-GO"
"validation_emphasis","Bile-acid transformation and FXR signalling",0.325,1,0,"NO-GO"
"validation_emphasis","Aromatic microbial metabolites and AHR/inflammatory signalling",0.225,2,0,"NO-GO"
"validation_emphasis","Tryptophan-derived indoles and AHR signalling",0.05,4,0,"NO-GO"
"validation_emphasis","Choline/acyl-choline metabolism and immune lipid handling",0.175,3,0,"NO-GO"
