candidate_family,source_node,target_node,edge_type,project_measurement_state,external_prior_state,gutmgene_v2_state,evidence_species,identifier_state,claim_use,DOI,PMID,notes
Bile-acid transformation and FXR signalling,Clostridium perfringens BSH/T,taurocholate-derived microbially conjugated bile acids,microbe/enzyme-to-metabolite,not-project-measured,curated-literature-prior,not-verified-bulk-endpoint-unavailable-2026-08-19,human,text-label-only; database identifier mapping pending,hypothesis-generation-only,10.1038/s41586-024-07017-8,38326608,"Supports an in-principle microbial bile-acid transformation edge, but neither BSH/T genes nor the reported microbial conjugates were measured in project cohorts."
Bile-acid transformation and FXR signalling,microbially conjugated bile salts,TGR5 and FXR,metabolite-to-host receptor,not-project-measured,curated-literature-prior,not-verified-bulk-endpoint-unavailable-2026-08-19,human,text-label-only; database identifier mapping pending,hypothesis-generation-only,10.1097/HC9.0000000000000383,38517202,Authors concluded that low systemic concentrations and equipotent host bile salts make a material human enterohepatic effect unlikely; not evidence for taurocholate or taurocholenate sulfate specifically.
Bile-acid transformation and FXR signalling,gut microbial primary-to-secondary bile-acid conversion,hepatic CXCL16-CXCR6+ NKT antitumour surveillance,microbe/metabolite-to-host immune programme,not-project-measured,curated-literature-prior,not-verified-bulk-endpoint-unavailable-2026-08-19,human,text-label-only; database identifier mapping pending,hypothesis-generation-only,10.1126/science.aan5931,29798856,"Strong external plausibility, but the project's promoted conjugated plasma bile acids, microbial features, CXCL16 and NKT programme were not jointly measured or reproduced."
Aromatic microbial metabolites and AHR/inflammatory signalling,Bacteroides fragilis,3-phenylpropionic acid,microbe-to-metabolite,not-project-measured,curated-literature-prior,not-verified-bulk-endpoint-unavailable-2026-08-19,mouse/non-human,text-label-only; database identifier mapping pending,hypothesis-generation-only,10.1186/s40168-023-01551-9,37158970,Project cohorts did not reproduce B. fragilis or a 3-PPA-producing function; project 3-PPA had low coverage and failed promotion.
Aromatic microbial metabolites and AHR/inflammatory signalling,3-phenylpropionic acid,AhR-CYP1A1-IL22 intestinal barrier response,metabolite-to-host receptor/programme,not-project-measured,curated-literature-prior,not-verified-bulk-endpoint-unavailable-2026-08-19,mouse/non-human,text-label-only; database identifier mapping pending,hypothesis-generation-only,10.1186/s40168-023-01551-9,37158970,Does not validate gamma-glutamyltryptophan as an AhR ligand and does not rescue null donor-aware hepatic AHR programmes.
Choline/acyl-choline metabolism and immune lipid handling,human gut bacteria carrying cutC/cutD,choline-to-trimethylamine conversion,microbial function-to-metabolite,not-project-measured,curated-literature-prior,not-verified-bulk-endpoint-unavailable-2026-08-19,human,text-label-only; database identifier mapping pending,hypothesis-generation-only,10.1128/mBio.00042-15,25873372,No cutC/cutD functional measurement is available in the project cohorts; taxonomic composition alone cannot infer this pathway.
Choline/acyl-choline metabolism and immune lipid handling,intestinal epithelial Gpcpd1 plus downstream microbiota,GPC-to-choline-to-circulating TMAO,host/microbial serial metabolism,not-project-measured,curated-literature-prior,not-verified-bulk-endpoint-unavailable-2026-08-19,unspecified,text-label-only; database identifier mapping pending,hypothesis-generation-only,10.1016/j.jbc.2024.107965,39510189,Shows GPC can feed the TMAO pathway but is not a direct microbial-production link for 1-palmitoleoyl-GPC and was not measured in project cohorts.
Choline/acyl-choline metabolism and immune lipid handling,dietary alpha-GPC and gut microbiota,TMA/TMAO and vascular inflammatory signalling,metabolite-microbiota-host intervention,not-project-measured,curated-literature-prior,not-verified-bulk-endpoint-unavailable-2026-08-19,human,text-label-only; database identifier mapping pending,hypothesis-generation-only,10.3390/ijms222413477,34948275,External plausibility only; does not establish direction or mediation for the lower GPC-class signals observed before/in HCC.
Choline/acyl-choline metabolism and immune lipid handling,circulating TMAO,primary liver cancer status,human metabolite-disease association,not-project-measured,curated-literature-prior,not-verified-bulk-endpoint-unavailable-2026-08-19,human,text-label-only; database identifier mapping pending,hypothesis-generation-only,10.1186/s12986-018-0319-2,30479648,"Cases were compared with population controls, not cirrhosis; reverse causation and residual confounding remain possible; TMAO was not measured in this project."
Choline/acyl-choline metabolism and immune lipid handling,TMAO,POSTN-ILK-AKT-mTOR inflammatory HCC programme,metabolite-to-host tumour programme,not-project-measured,curated-literature-prior,not-verified-bulk-endpoint-unavailable-2026-08-19,human,text-label-only; database identifier mapping pending,hypothesis-generation-only,10.3389/fcell.2022.840171,35676936,Neither TMAO nor the POSTN pathway was prespecified and jointly validated in the project; cannot be substituted for the null fixed choline host programme.
