candidate_family,source_node,target_node,edge_type,evidence_model,specimen,intervention,direction,directness,DOI,PMID,title,year,journal,independent_of_project,evidence_tier,measured_in_project,eligible_for_axis_gate,notes
"Bile-acid transformation and FXR signalling","Clostridium perfringens BSH/T","taurocholate-derived microbially conjugated bile acids","microbe/enzyme-to-metabolite","recombinant enzyme; bacterial strains; mice; human observational","reaction mixture; mouse enterohepatic tissues; human faeces","BSH/T substrates including taurocholate; mutagenesis; oral metabolite exposure","BSH/T generated diverse amino-acid-conjugated bile acids","direct enzyme chemistry; downstream human occurrence observational","10.1038/s41586-024-07017-8","38326608","Bile salt hydrolase acyltransferase activity expands bile acid diversity",2024,"Nature","YES","Tier 1 experimental","NO","NO","Supports an in-principle microbial bile-acid transformation edge, but neither BSH/T genes nor the reported microbial conjugates were measured in project cohorts."
"Bile-acid transformation and FXR signalling","microbially conjugated bile salts","TGR5 and FXR","metabolite-to-host receptor","cell-free and cell-based receptor assays plus human surgical sampling","reporter systems; macrophages; mesenteric blood; portal blood; bile","synthetic Leu/Phe/Tyr bile-salt amidates","activated TGR5 and FXR in assays; individual compounds generally undetectable in portal/mesenteric blood","direct receptor assays; human exposure relevance limited","10.1097/HC9.0000000000000383","38517202","Microbially conjugated bile salts found in human bile activate the bile salt receptors TGR5 and FXR",2024,"Hepatology Communications","YES","Tier 1 experimental with human pharmacological limitation","NO","NO","Authors concluded that low systemic concentrations and equipotent host bile salts make a material human enterohepatic effect unlikely; not evidence for taurocholate or taurocholenate sulfate specifically."
"Bile-acid transformation and FXR signalling","gut microbial primary-to-secondary bile-acid conversion","hepatic CXCL16-CXCR6+ NKT antitumour surveillance","microbe/metabolite-to-host immune programme","antibiotic-treated and colonised mice; liver tumour models; human tissue correlation","mouse liver, faeces and bile acids; human non-tumour liver","antibiotics; vancomycin; Clostridium scindens colonisation; bile-acid feeding","reduced secondary conversion increased hepatic NKT accumulation and inhibited liver tumours in the tested models","direct in mice; limited human correlation","10.1126/science.aan5931","29798856","Gut microbiome-mediated bile acid metabolism regulates liver cancer via NKT cells",2018,"Science","YES","Tier 1 experimental","NO","NO","Strong external plausibility, but the project's promoted conjugated plasma bile acids, microbial features, CXCL16 and NKT programme were not jointly measured or reproduced."
"Aromatic microbial metabolites and AHR/inflammatory signalling","Bacteroides fragilis","3-phenylpropionic acid","microbe-to-metabolite","pig microbiome comparison; germ-free mouse transfer; bacterial intervention","pig and mouse gut/serum/fecal metabolome","B. fragilis administration and microbiota transfer","B. fragilis increased 3-phenylpropionic acid in the tested system","direct experimental in non-human models","10.1186/s40168-023-01551-9","37158970","Gut microbiota-derived 3-phenylpropionic acid promotes intestinal epithelial barrier function via AhR signaling",2023,"Microbiome","YES","Tier 1 experimental","NO","NO","Project cohorts did not reproduce B. fragilis or a 3-PPA-producing function; project 3-PPA had low coverage and failed promotion."
"Aromatic microbial metabolites and AHR/inflammatory signalling","3-phenylpropionic acid","AhR-CYP1A1-IL22 intestinal barrier response","metabolite-to-host receptor/programme","mouse intervention and intestinal molecular assays","mouse jejunal epithelium and circulation","3-PPA administration with AhR antagonist SR1","3-PPA activated AhR-associated signalling and improved barrier measures","direct experimental in mice; intestinal rather than hepatic","10.1186/s40168-023-01551-9","37158970","Gut microbiota-derived 3-phenylpropionic acid promotes intestinal epithelial barrier function via AhR signaling",2023,"Microbiome","YES","Tier 1 experimental","NO","NO","Does not validate gamma-glutamyltryptophan as an AhR ligand and does not rescue null donor-aware hepatic AHR programmes."
"Choline/acyl-choline metabolism and immune lipid handling","human gut bacteria carrying cutC/cutD","choline-to-trimethylamine conversion","microbial function-to-metabolite","human gut isolates; biochemistry; stool metagenomes","cultures; recombinant proteins; public stool metagenomes","anaerobic growth on choline; gene and enzyme characterization","cut cluster predicted and enabled anaerobic choline utilization","direct microbial biochemistry","10.1128/mBio.00042-15","25873372","Characterization and detection of a widely distributed gene cluster that predicts anaerobic choline utilization by human gut bacteria",2015,"mBio","YES","Tier 1 experimental","NO","NO","No cutC/cutD functional measurement is available in the project cohorts; taxonomic composition alone cannot infer this pathway."
"Choline/acyl-choline metabolism and immune lipid handling","intestinal epithelial Gpcpd1 plus downstream microbiota","GPC-to-choline-to-circulating TMAO","host/microbial serial metabolism","Caco-2 cells; intestinal epithelial knockout mice","intestinal lumen/tissue and blood","GPC exposure; Gpcpd1 knockdown and epithelial knockout","Gpcpd1 hydrolysed GPC to choline and deletion partly reduced GPC-induced circulating TMAO","direct host enzymology; microbial TMA step inferred from established pathway","10.1016/j.jbc.2024.107965","39510189","Role of Gpcpd1 in intestinal alpha-glycerophosphocholine metabolism and trimethylamine N-oxide production",2024,"Journal of Biological Chemistry","YES","Tier 1 experimental","NO","NO","Shows GPC can feed the TMAO pathway but is not a direct microbial-production link for 1-palmitoleoyl-GPC and was not measured in project cohorts."
"Choline/acyl-choline metabolism and immune lipid handling","dietary alpha-GPC and gut microbiota","TMA/TMAO and vascular inflammatory signalling","metabolite-microbiota-host intervention","Apoe knockout mice; intestinal segment incubations; human endothelial cells","cecal microbiota; plasma; intestinal segments; endothelial cells","chronic GPC supplementation; isotope-labelled GPC","GPC increased TMAO, cutC-encoding bacteria and inflammatory signalling in the tested cardiovascular models","direct intervention, disease context not liver cancer","10.3390/ijms222413477","34948275","The Nutritional Supplement L-Alpha Glycerylphosphorylcholine Promotes Atherosclerosis",2021,"International Journal of Molecular Sciences","YES","Tier 1 experimental, indirect disease context","NO","NO","External plausibility only; does not establish direction or mediation for the lower GPC-class signals observed before/in HCC."
"Choline/acyl-choline metabolism and immune lipid handling","circulating TMAO","primary liver cancer status","human metabolite-disease association","frequency-matched human case-control study","serum","none; observational targeted HPLC-MS/MS","higher TMAO associated with higher primary liver cancer odds","human association; no temporal or microbial mediation proof","10.1186/s12986-018-0319-2","30479648","Trimethylamine N-oxide, a gut microbiota-dependent metabolite of choline, is positively associated with the risk of primary liver cancer: a case-control study",2018,"Nutrition & Metabolism","YES","Tier 2 human association","NO","NO","Cases were compared with population controls, not cirrhosis; reverse causation and residual confounding remain possible; TMAO was not measured in this project."
"Choline/acyl-choline metabolism and immune lipid handling","TMAO","POSTN-ILK-AKT-mTOR inflammatory HCC programme","metabolite-to-host tumour programme","HCC cell lines; mouse cells; public human transcriptomic reanalysis","cultured cells and public tumour transcriptomes","TMAO with TNF-alpha; POSTN knockdown","TMAO increased POSTN-linked signalling and tumorigenic phenotypes in the tested systems","experimental cells plus in-silico human association","10.3389/fcell.2022.840171","35676936","Integrated Analysis Reveals the Gut Microbial Metabolite TMAO Promotes Inflammatory Hepatocellular Carcinoma by Upregulating POSTN",2022,"Frontiers in Cell and Developmental Biology","YES","Tier 1/2 mixed","NO","NO","Neither TMAO nor the POSTN pathway was prespecified and jointly validated in the project; cannot be substituted for the null fixed choline host programme."
